,Edu2.FM,Labo.FM,Life.Exp,Edu.Exp,GNI,Mat.Mor,Ado.Birth,Parli.F
Ecuador,1.017766497,0.661426844,75.9,14.2,"10,605",87,77,41.6
China,0.816411683,0.816091954,75.8,13.1,"12,547",32,8.6,23.6
Fiji,0.995348837,0.520833333,70,15.7,"7,493",59,42.8,14
Mongolia,1.014268728,0.816738817,69.4,14.6,"10,729",68,18.7,14.9
Thailand,0.875,0.796778191,74.4,13.5,"13,323",26,41,6.1
Libya,1.324582339,0.392670157,71.6,14,"14,911",15,2.5,16
Tunisia,0.711496746,0.354019746,74.8,14.6,"10,404",46,4.6,31.3
Colombia,1.023381295,0.700125471,74,13.5,"12,040",83,68.5,20.9
Jamaica,1.054131054,0.791255289,75.7,12.4,"7,415",80,70.1,16.7
Tonga,0.990939977,0.717158177,72.8,14.7,"5,069",120,18.1,0
Belize,1.007915567,0.59781288,70,13.6,"7,614",45,71.4,13.3
Dominican Republic,1.047080979,0.652671756,73.5,13.1,"11,883",100,99.6,19.1
Suriname,0.946921444,0.588662791,71.1,12.7,"15,617",130,35.2,11.8
Maldives,0.834862385,0.72516129,76.8,13,"12,328",31,4.2,5.9
Samoa,1.071666667,0.40239726,73.4,12.9,"5,327",58,28.3,6.1
Botswana,0.944801027,0.881127451,64.5,12.5,"16,646",170,44.2,9.5
Moldova (Republic of),0.968944099,0.850678733,71.6,11.9,"5,223",21,29.3,20.8
Egypt,0.724422442,0.31684492,71.1,13.5,"10,512",45,43,2.2
Gabon,1.493074792,0.859327217,64.4,12.5,"16,367",240,103,16.2
Indonesia,0.81097561,0.610451306,68.9,13,"9,788",190,48.3,17.1
Paraguay,0.855813953,0.656839623,72.9,11.9,"7,643",110,67,16.8
Philippines,1.034536892,0.641154329,68.2,11.3,"7,915",120,46.8,27.1
El Salvador,0.844036697,0.605063291,73,12.3,"7,349",69,76,27.4
South Africa,0.957839262,0.73553719,57.4,13.6,"12,122",140,50.9,40.7
Viet Nam,0.834269663,0.888077859,75.8,11.9,"5,092",49,29,24.3
Bolivia (Plurinational State of),0.805414552,0.793572311,68.3,13.2,"5,760",200,71.9,51.8
Kyrgyzstan,0.976239669,0.704402516,70.6,12.5,"3,044",75,29.3,23.3
Iraq,0.553784861,0.213467049,69.4,10.1,"14,003",67,68.7,26.5
Guyana,1.261506276,0.529192547,66.4,10.3,"6,522",250,88.5,31.3
Nicaragua,1.028720627,0.590286426,74.9,11.5,"4,457",100,100.8,39.1
Morocco,0.685430464,0.349604222,74,11.6,"6,850",120,35.8,11
Namibia,0.968023256,0.858712716,64.8,11.3,"9,418",130,54.9,37.7
Guatemala,0.943965517,0.558956916,71.8,10.7,"6,929",140,97.2,13.3
Tajikistan,1.042763158,0.763942931,69.4,11.2,"2,517",44,42.8,15.2
India,0.477031802,0.337922403,68,11.7,"5,497",190,32.8,12.2
Honduras,1.085271318,0.51628468,73.1,11.1,"3,938",120,84,25.8
Bhutan,0.985507246,0.863989637,69.5,12.6,"7,176",120,40.9,8.3
Syrian Arab Republic,0.728395062,0.185694635,69.6,12.3,"2,728",49,41.6,12.4
Congo,0.844680851,0.938356164,62.3,11.1,"6,012",410,126.7,11.5
Zambia,0.586363636,0.853971963,60.1,13.5,"3,734",280,125.4,12.7
Ghana,0.698608964,0.942577031,61.4,11.5,"3,852",380,58.4,10.9
Bangladesh,0.82566586,0.682520809,71.6,10,"3,191",170,80.6,20
Cambodia,0.43231441,0.910982659,68.4,10.9,"2,949",170,44.3,19
Kenya,0.805732484,0.859116022,61.6,11,"2,762",400,93.6,20.8
Nepal,0.463350785,0.917336395,69.6,12.4,"2,311",190,73.7,29.5
Pakistan,0.418655098,0.296743064,66.2,7.8,"4,866",170,27.3,19.7
Myanmar,1.496732026,0.913730255,65.9,8.6,"4,608",200,12.1,4.7
Swaziland,0.842307692,0.613128492,49,11.3,"5,542",310,72,14.7
Tanzania (United Republic of),0.589473684,0.976718404,65,9.2,"2,411",410,122.7,36
Cameroon,0.610315186,0.830729167,55.5,10.4,"2,803",590,115.8,27.1
Zimbabwe,0.785483871,0.927536232,57.5,10.9,"1,615",470,60.3,35.1
Mauritania,0.397129187,0.362831858,63.1,8.5,"3,560",320,73.3,22.2
Papua New Guinea,0.524137931,0.952702703,62.6,9.9,"2,463",220,62.1,2.7
Yemen,0.322097378,0.351800554,63.8,9.2,"3,519",270,47,0.7
Lesotho,1.152631579,0.802721088,49.8,11.1,"3,306",490,89.4,26.8
Togo,0.399503722,0.991389914,59.7,12.2,"1,228",450,91.5,17.6
Haiti,0.636363636,0.857746479,62.8,8.7,"1,669",380,42,3.5
Rwanda,0.909090909,1.012895662,64.2,10.3,"1,458",320,33.6,57.5
Uganda,0.68358209,0.957070707,58.5,9.8,"1,613",360,126.6,35
Benin,0.418518519,0.863346105,59.6,11.1,"1,767",340,90.2,8.4
Sudan,0.664835165,0.411842105,63.5,7,"3,809",360,84,23.8
Senegal,0.467532468,0.75,66.5,7.9,"2,188",320,94.4,42.7
Afghanistan,0.197986577,0.198742138,60.4,9.3,"1,885",400,86.8,27.6
Côte d'Ivoire,0.465116279,0.643734644,51.5,8.9,"3,171",720,130.3,9.2
Malawi,0.513888889,1.03803681,62.8,10.8,747,510,144.8,16.7
Ethiopia,0.428571429,0.875699888,64.1,8.5,"1,428",420,78.4,25.5
Gambia,0.552380952,0.87092883,60.2,8.8,"1,507",430,115.8,9.4
Congo (Democratic Republic of the),0.395061728,0.965846995,58.7,9.8,680,730,135.3,8.2
Liberia,0.391857506,0.898148148,60.9,9.5,805,640,117.4,10.7
Mali,0.509933775,0.624078624,58,8.4,"1,583",550,175.6,9.5
Mozambique,0.225806452,1.032608696,55.1,9.3,"1,123",480,137.8,39.6
Sierra Leone,0.460829493,0.952173913,50.9,8.6,"1,780",1100,100.7,12.4
Burkina Faso,0.28125,0.856666667,58.7,7.8,"1,591",400,115.4,13.3
Burundi,0.638554217,1.015853659,56.7,10.1,758,740,30.3,34.9
Chad,0.171717172,0.808080808,51.6,7.4,"2,085",980,152,14.9
Central African Republic,0.378277154,0.853113984,50.7,7.2,581,880,98.3,12.5
Niger,0.307692308,0.445930881,61.4,5.4,908,630,204.8,13.3
